,sum_tfidf
pc,21.684678239566995
mosquito,3.645216422822288
repellent,52.39133447281824
patch,46.9060897681292
stickers,17.957024351861325
anti,2.7428112875549053
kid,12.125810940056054
child,41.731003906021826
yellow,1.2818560150272496
baby,2.201764149096974
shoe,7.649091845115109
toddler,33.05162301386417
boy,58.80596579917336
girl,9.627520907543675
cotton,0.9143470174367467
pea,178.1864498093744
year,42.07716947634286
old,47.34764750290293
brown,29.26415980001544
alpha,8.11824326509835
live,4.32633816136009
change,0.7278605642204654
diaper,0.386838921255733
massage,19.405328816079436
nursing,165.92942736636437
table,14.064171143706762
sized,14.936266496249482
shape,576.3481781240205
pillow,1.8638607431930967
maternity,9.075891785860021
pregnancy,0.40803115830058906
support,15.400504561791854
body,0.8134237901970315
golden,1.9833564900058707
electronic,9.970022940857163
cradle,0.3429723293673789
remote,6.749780954269887
timer,1.6287027455277248
epoch,30.617702405450782
walk,54.291052247393175
belt,189.8731929181802
comfortable,42.26964077610144
safety,1.9883006477307656
harness,134.12992993079774
sky,1.0673480691760209
wing,17.765856107539935
large,0.5398619081511223
durable,96.54067524251411
strong,1.7435686818181777
metal,19.54649973820045
kilt,1.889667423133661
scarf,2528.9312299208755
brooch,57.48598791584688
pin,2.898782206321965
craft,48.818891965751405
silver,4.4261515781353635
modern,1.368587057907596
luxury,569.7189476718551
upholster,1.3750949376997326
footstool,86.21310145128012
round,16.880085826953955
pouffe,0.5702516117493922
stool,27.314664393856077
wooden,3.4096496588243195
leg,343.01971181080427
pattern,190.83640750416
fabric,2.641333986811198
big,62.65305477903558
charlie,50.787633929568024
banana,3.93600218730525
swim,1.2794828814668153
diapers,3.0218150655139526
training,6.947802546963644
pant,2.6991567086888972
dinosaur,0.40002763051640994
month,394.5197372169414
plastic,4.40640086957423
soup,233.66775992741194
ladle,3.6910282114912407
kitchen,0.9945417245699262
bathroom,0.602163311624402
hair,28.772376004164173
washing,21.24210917627605
water,6.466725736144772
scoop,2.0042528966505038
premium,10.45032461997909
pack,34.33515732625821
new,0.5453803338828979
free,3.0302142064072606
shipping,0.8741672076874851
gerber,5.451848424279051
grain,21.936606736296884
fruit,1.2217806254310624
cereal,0.36026696625712207
probiotic,2.032556173911479
oatmeal,62.617947148099276
peach,5.655206662359131
apple,3.683679402104584
cute,0.5050453814946338
kitty,90.83154952587348
pink,15.160525655900006
romper,13.823040511194145
newborn,0.4215927124015494
rocker,0.7070267323638337
calm,32.03064497093411
vibration,10.346685057751701
blue,21.677632103477247
anakku,8.15178311672942
print,29.678673638485854
napkin,17.61809324325743
seat,370.41051235109506
plush,24.922529879430577
soft,59.36470851307426
sofa,26.931509202386305
infant,33.77241772354831
learn,36.15163245477941
sit,21.711321016445247
chair,0.5773116982083716
posture,11.036196148090733
shower,7.811539386110248
gift,0.48200460519000526
quinton,7.215624233827323
rabbit,1.3393701718219262
potty,4.56531986693658
mint,0.39387422297213154
green,3.801213528352917
lydi,2.509956920413958
mummy,135.92365713922084
mutlifunctional,2.720344895183179
fashion,11.661202362687416
capacity,8.163683128107634
backpack,454.8470155008131
bag,2.304603775785516
easy,24.487633591014806
fun,2.7428112875549053
breathable,9.461638242248176
comfort,0.5676671224580118
header,17.481485129824396
washable,9.115391662710334
corrective,20.33209202770863
head,9.857654496936988
lose,165.3163882933273
wrist,1.792321939376781
link,77.48117211245628
orange,91.45561287957403
strap,5.536516591230013
solid,1.7416473725287938
color,1.6106455062867306
swimsuit,1.9118272257977376
black,489.73054987162465
beach,1.4245859775757443
wear,34.74363521759373
long,32.13807071278049
sleeve,2.742791958683335
bathe,22.317250292482587
suit,2682.735858596957
high,7.36188843501964
neck,223.4871112403432
bodysuit,1.4116850210572887
piece,0.5288551124773387
swimwear,3.505486951291515
short,3.375360214225446
momo,1.129743675854727
house,0.7450119723174816
spring,21.659313257808137
cot,29.23445277331751
buaian,26.020231530274383
buai,5.937623523983063
crazy,10.006837017078896
store,24.33675196664843
summer,0.7218252397702134
slip,0.5280158437148966
sole,2.5047407694756965
casual,26.029561564968315
sandal,2.0314709695848294
digital,653.3811283979129
wireless,11.445323298982183
night,3.5945068980093393
vision,3.262473957061416
lcd,2.181705732797553
audio,52.45447311217285
video,4.434064449417415
security,49.40690105957471
camera,7.280625481300111
monitor,9.60441885363775
bebedang,53.66709880356184
organic,6.320494377885181
rice,20.105825252186435
stick,0.4342206472314606
stage,1.0975009281514525
bud,31.902171567115733
cheese,1.3676249069889925
sweet,15.438984568464004
pumpkin,4.208084466960133
food,1.6395765880063626
mills,19.797657563284154
bowl,0.6046841609399697
set,204.80038487080918
manual,0.47241932863261715
grind,3.17981747179528
maker,31.234415704860023
tool,60.438779292709874
stretchy,80.26342908385067
sle,1.3795478265789214
feed,41.166738420784185
wrap,15.635334439525318
carrier,5.198770136221439
adjustable,4.508214664787717
version,212.29644950527904
portable,16.716431018201966
fold,5.668926649809747
toilet,2.1040292711306567
ladder,27.401631471309738
bottle,13.75341524549009
natufoodie,77.8633982451594
puff,0.3536910459456079
halal,12.831412303297714
roll,13.885867980707053
lot,2.259487351709454
garbage,37.01582113117895
box,268.16908321115085
travel,0.908350596975527
nappy,192.05743108378437
disposable,2.8162476030249968
time,4.967838563228725
use,35.78541392365188
rubbish,176.7807720580468
blood,71.76817034125132
type,90.12318274577852
energy,6.04122359137321
drink,40.5900430321415
beverage,8.843428358491975
halloween,20.893802225209843
pouch,0.6676925323639009
vampire,5.276158627323054
bebe,2.389413008291065
abandon,2.984953245491013
part,2.5835671881333933
inside,0.5401455481111309
onlook,102.09120049598677
stripe,2.585919134635342
towel,2.278007037537307
knotted,4.9467817609324705
fetal,296.33551768271735
cap,6.583901175078396
hold,23.814752255510506
blanket,26.28237936612935
hooded,2.2081106865892037
bath,131.46331339172974
swaddle,1.0959641580211112
envelope,671.807564637297
hat,226.80662259812422
fiffy,1.1692360581835377
complementary,0.8822329031428596
blueberry,9.10986324302581
quinoa,1.0166824256973839
square,57.921302532141354
babys,230.57649018003576
walkers,0.4763541378590672
red,420.9399539959414
siap,8.593053886384572
pasang,25.401352512876812
multifunction,90.01052664044742
toy,37.93116669037716
walker,7.5834090790863415
roof,18.524249311185393
handle,855.5298849600699
cloth,1.2012933707147164
liner,29.025755431118423
layer,4.991744650043607
overhead,101.26708226263717
recline,7.36188843501964
different,13.391979869315985
position,10.513266129246714
mystery,33.60908975401661
girls,2.16910381344684
bikini,17.06440196692838
lace,44.50837340519247
tutu,4.52249885011178
skirts,122.96364953100264
tankini,44.529155635959995
triangle,22.99278498862841
bibs,36.726406154985675
